Company Name;Ticker;Exchange;Sector;Industry;Market Cap (mil);s/o;52W High;52W Low;P;EPS0;EPS1;EPS2;RG;PE0;PE1;PE2;EG1;EG2;PEG1;PEG2;52W Range
Continental;CTTAY;OTC;Auto-Tires-Trucks;Automotive - Original Equipment;13020,39;2000,06;8,45;5,61;6,51;0,77;0,69;1,01;7,94;8,45;9,43;6,45;-10%;46%;-0,91;0,14;51%
iTeos Therapeutics;ITOS;NSDQ;Medical;Medical - Biomedical and Genetics;540,52;36,52;18,09;8,57;14,8;-3,4;-4,21;-6,31;-95,29;-4,35;-3,52;-2,35;24%;50%;-0,15;-0,05;111%
Vital Energy;VTLE;NYSE;Oils-Energy;Alternative Energy - Other;1084,23;38,18;59,94;28,4;28,4;15,94;6,27;10,24;-19,43;1,78;4,53;2,77;-61%;63%;-0,07;0,04;111%
SPX Technologies;SPXC;NYSE;Business Services;Technology Services;6520,68;46,29;164,35;77,91;140,85;4,3;5,54;6,21;19,19;32,76;25,42;22,68;29%;12%;0,88;1,88;111%
Transocean;RIG;NYSE;Oils-Energy;Oil and Gas - Drilling;3606,94;875,47;8,69;4,12;4,12;-1,03;-0,19;0,28;9,98;-4;-21,68;14,71;-82%;-247%;0,27;-0,06;111%
ZipRecruiter;ZIP;NYSE;Business Services;Business - Services;904,97;99,34;15,29;7,25;9,11;0,48;-0,21;-0,14;-28,62;18,98;-43,38;-65,07;-144%;-33%;0,3;1,95;111%
Colruyt;CUYTY;OTC;Consumer Discretionary;Consumer Products - Discretionary;6698,86;509,4;13,15;9,09;13,15;2,14;0,85;0,99;13,73;6,15;15,47;13,28;-60%;16%;-0,26;0,81;45%
Ribbon Communications;RBBN;NSDQ;Computer and Technology;Communication - Network Software;507,87;174,53;3,92;1,86;2,91;0,2;0,21;0,26;0,8;14,55;13,86;11,19;5%;24%;2,77;0,47;111%
Transportadora De Gas Ord B;TGS;NYSE;Oils-Energy;Oil and Gas - Production and Pipelines;3038,14;150,55;20,69;9,82;20,18;0,54;0,74;1,41;33,36;37,37;27,27;14,31;37%;91%;0,74;0,16;111%
Hyster-Yale;HY;NYSE;Industrial Products;Manufacturing - Construction and Mining;1005,27;17,5;81,74;38,8;57,44;7,28;9,69;6,91;;7,89;5,93;8,31;33%;-29%;0,18;-0,29;111%
Five Star Bancorp;FSBC;NSDQ;Finance;Banks - West;599,29;21,32;29,89;18,58;28,11;2,7;2,16;2,4;45,43;10,41;13,01;11,71;-20%;11%;-0,65;1,05;61%
Snap;SNAP;NYSE;Computer and Technology;Internet - Software;14304,76;1659,48;17,45;8,29;8,62;0,06;0,2;0,38;0,09;143,67;43,1;22,68;233%;90%;0,18;0,25;110%
BioCryst Pharmaceuticals;BCRX;NSDQ;Medical;Medical - Drugs;1650,95;206,89;8,69;4,13;7,98;-1,08;-0,45;-0,2;22,37;-7,39;-17,73;-39,9;-58%;-56%;0,3;0,72;110%
Piper Sandler Companies;PIPR;NYSE;Finance;Financial - Investment Bank;4588,68;17,7;277,34;131,83;259,29;7,77;11,53;15,12;-5,45;33,37;22,49;17,15;48%;31%;0,46;0,55;110%
Organon & Co,;OGN;NYSE;Medical;Medical Services;5275,63;257,47;23,03;10,95;20,49;4,03;4,33;4,45;1,44;5,08;4,73;4,6;7%;3%;0,64;1,66;110%
Willdan Group;WLDN;NSDQ;Business Services;Business - Services;526,05;13,99;39,5;17,18;37,59;1,3;2,1;2,35;18,87;28,92;17,9;16;62%;12%;0,29;1,34;130%
Shoe Carnival;SCVL;NSDQ;Retail-Wholesale;Retail - Apparel and Shoes;1090,95;27,16;43,87;20,92;40,17;2,7;2,65;3,03;-6,84;14,88;15,16;13,26;-2%;14%;-8,19;0,92;110%
Novagold Resources;NG;AMEX;Basic Materials;Mining - Gold;1234,55;334,57;4,78;2,28;3,69;-0,1;;;;-36,9;;;;;;;110%
ONESPAN;OSPN;NSDQ;Computer and Technology;Internet - Software;567,31;37,87;16,16;7,71;14,98;-0,18;1,16;1,29;7,35;-83,22;12,91;11,61;-744%;11%;-0,02;1,04;110%
Clean Energy Fuels;CLNE;NSDQ;Utilities;Utility - Gas Distribution;594,32;223,43;4,63;2,21;2,66;-0,07;-0,08;-0,03;1,19;-38;-33,25;-88,67;14%;-63%;-2,33;1,42;110%
Cricut;CRCT;NSDQ;Business Services;Technology Services;1220,31;216,37;9,61;4,59;5,64;0,26;0,29;0,35;-13,67;21,69;19,45;16,11;12%;21%;1,69;0,78;109%
Distribution Solutions Group;DSGR;NSDQ;Business Services;Technology Services;1607,98;46,76;37,43;23,29;34,39;0,81;1,28;1,62;36,39;42,46;26,87;21,23;58%;27%;0,46;0,8;61%
SmartCentres Real Estate Investment Trust;CWYUF;OTC;Finance;REIT and Equity Trust - Retail;3373,1;178,19;19,27;15,27;18,93;;;;-0,11;;;;;;;;26%
Cognyte Software;CGNT;NSDQ;Computer and Technology;Internet - Software;530,58;71,89;8,41;4,02;7,38;;-0,07;0;0,43;;-105,43;;;-100%;;;109%
Evolus;EOLS;NSDQ;Medical;Medical - Products;928,12;63,09;15,89;7,6;14,71;-0,5;-0,27;0,29;35,98;-29,42;-54,48;50,72;-46%;-207%;1,18;-0,24;109%
Rocket Pharmaceuticals;RCKT;NSDQ;Medical;Medical - Biomedical and Genetics;1684,68;91,01;31,94;15,29;18,51;-3,02;-2,97;-2,42;;-6,13;-6,23;-7,65;-2%;-19%;3,76;0,41;109%
New Gold;NGD;AMEX;Basic Materials;Mining - Gold;1842,02;790,56;2,69;0,89;2,33;0,09;0,14;0,2;30,13;25,89;16,64;11,65;56%;43%;0,3;0,27;202%
Green Brick Partners;GRBK;NYSE;Finance;Real Estate - Development;3298,1;44,5;79,76;38,19;74,12;6,26;8,35;8,59;1,13;11,84;8,88;8,63;33%;3%;0,27;3;109%
CyberAgent;CYGIY;OTC;Computer and Technology;Internet - Services;3179,53;1012,59;3,64;2,54;3,14;0,05;0,12;0,17;;62,8;26,17;18,47;140%;42%;0,19;0,44;43%
AeroVironment;AVAV;NSDQ;Aerospace;Aerospace - Defense Equipment;5062,14;28,21;219,31;105,02;179,47;2,79;3,44;4,16;32,59;64,33;52,17;43,14;23%;21%;2,24;2,06;109%
Zymeworks;ZYME;NSDQ;Medical;Medical - Biomedical and Genetics;821,31;71,05;12,9;6,18;11,56;-1,96;-1,08;-0,91;-81,57;-5,9;-10,7;-12,7;-45%;-16%;0,24;0,81;109%
Enfusion;ENFN;NYSE;Computer and Technology;Internet - Software;1033,7;128,41;10,23;7,78;8,05;0,15;0,23;0,32;16,09;53,67;35;25,16;53%;39%;0,66;0,64;31%
Foot Locker;FL;NYSE;Retail-Wholesale;Retail - Apparel and Shoes;2477,82;94,72;35,15;16,85;26,16;1,37;1,51;2,04;-6,75;19,09;17,32;12,82;10%;35%;1,7;0,37;109%
Benchmark Electronics;BHE;NYSE;Computer and Technology;Electronics - Manufacturing Services;1416,43;36,11;47,87;22,97;39,23;;;;-1,64;;;;;;;;108%
Icahn Enterprises;IEP;NSDQ;Conglomerates;Diversified Operations;5016,13;475,46;21,97;10,55;10,55;-1,15;-0,42;0,81;-23,08;-9,17;-25,12;13,02;-63%;-293%;0,4;-0,04;108%
PropertyGuru Group;PGRU;NYSE;Business Services;Technology Services;1070,34;162,91;6,6;3,17;6,57;-0,11;;;13,38;-59,73;;;;;;;108%
Claros Mortgage Trust;CMTG;NYSE;Finance;REIT and Equity Trust;1080,84;138,75;14,54;6,99;7,79;0,14;0,27;0,55;;55,64;28,85;14,16;93%;104%;0,31;0,14;108%
Cushman & Wakefield;CWK;NYSE;Finance;Real Estate - Operations;2838,11;229,25;13,54;6,51;12,38;0,77;0,87;1,22;-6,06;16,08;14,23;10,15;13%;40%;1,1;0,25;108%
Olaplex;OLPX;NSDQ;Consumer Staples;Cosmetics;1423,27;661,98;2,62;1,26;2,15;0,15;0,14;0,17;-34,93;14,33;15,36;12,65;-7%;21%;-2,3;0,59;108%
Remitly Global;RELY;NSDQ;Business Services;Financial Transaction Services;2622,64;195,14;27,59;11,61;13,44;-0,63;-0,3;-0,02;44,48;-21,33;-44,8;-672;-52%;-93%;0,86;7,2;138%
Pactiv Evergreen;PTVE;NSDQ;Consumer Discretionary;Consumer Services - Miscellaneous;2000,48;179,26;15,53;7,47;11,16;0,8;0,98;1,23;-11,41;13,95;11,39;9,07;23%;26%;0,51;0,36;108%
The Real Brokerage;REAX;NSDQ;Business Services;Technology Services;1004,32;183,61;6,66;1,31;5,47;-0,12;-0,18;-0,11;80,52;-45,58;-30,39;-49,73;50%;-39%;-0,61;1,28;408%
Boot Barn;BOOT;NYSE;Retail-Wholesale;Retail - Apparel and Shoes;4133,56;30,5;142,39;68,57;135,51;4,73;5,28;6,26;0,57;28,65;25,66;21,65;12%;19%;2,21;1,17;108%
Lamb Weston;LW;NYSE;Consumer Staples;Food - Miscellaneous;9054,17;143,67;109,99;53,01;63,02;5,53;4,54;5,14;20,88;11,4;13,88;12,26;-18%;13%;-0,78;0,93;107%
Mueller Industries;MLI;NYSE;Industrial Products;Metal Products - Procurement and Fabrication;7466,93;113,32;72,71;35,07;65,89;;;;-14,11;;;;;;;;107%
Digital China;DCHIF;OTC;Computer and Technology;Computer - Integrated Systems;663,25;1673,61;0,43;0,26;0,4;;0,01;0,03;-0,22;;39,63;13,21;;200%;;0,07;65%
PagSeguro Digital;PAGS;NYSE;Business Services;Financial Transaction Services;3098,32;329,61;14,6;7,05;9,4;1,07;1,19;1,54;9,63;8,79;7,9;6,1;11%;29%;0,7;0,21;107%
Eagle Bancorp;EGBN;NSDQ;Finance;Banks - Northeast;631,01;30,18;31,19;16,33;20,91;3,32;1,46;1,85;44,35;6,3;14,32;11,3;-56%;27%;-0,26;0,42;91%
STANDARD BIOTLS;LAB;NSDQ;Medical;Medical Info Systems;720,04;371,15;2,94;1,42;1,94;-0,45;-0,3;-0,18;8,57;-4,31;-6,47;-10,78;-33%;-40%;0,19;0,27;107%
Costamare;CMRE;NYSE;Transportation;Transportation - Shipping;1547;117,64;17,19;8,71;13,15;2,04;3,05;2,8;35,69;6,45;4,31;4,7;50%;-8%;0,09;-0,57;97%
Roku;ROKU;NSDQ;Consumer Discretionary;Broadcast Radio and Television;9313,61;144,69;106,87;51,67;64,37;-5,01;-1,45;-1,25;11,45;-12,85;-44,39;-51,5;-71%;-14%;0,62;3,73;107%
Tyra Biosciences;TYRA;NSDQ;Medical;Medical - Biomedical and Genetics;1087,28;52,81;22,76;11,01;20,59;-1,58;-1,53;-1,9;;-13,03;-13,46;-10,84;-3%;24%;4,25;-0,45;107%
Kanzhun;BZ;NSDQ;Computer and Technology;Internet - Software;4747,47;380,71;22,63;10,95;12,47;0,64;0,82;0,99;28,18;19,48;15,21;12,6;28%;21%;0,54;0,61;107%
Crocs;CROX;NSDQ;Consumer Discretionary;Textile - Apparel;7709,38;59,38;159,68;77,27;129,82;11,84;12,84;13,97;11,46;10,96;10,11;9,29;8%;9%;1,2;1,06;107%
TaskUs;TASK;NSDQ;Computer and Technology;Computers - IT Services;1078,78;88,71;16,9;8,18;12,16;1,27;1,26;1,4;-3,76;9,57;9,65;8,69;-1%;11%;-12,26;0,78;107%
Cable One;CABO;NYSE;Consumer Discretionary;Cable Television;1939,88;5,62;664,95;321,9;345,23;38,52;30,99;39,59;-1,64;8,96;11,14;8,72;-20%;28%;-0,57;0,31;107%
UWM;UWMC;NYSE;Finance;Financial - Mortgage & Related Services;840,43;95,61;9,52;4,61;8,79;0,23;0,27;0,44;-44,73;38,22;32,56;19,98;17%;63%;1,87;0,32;107%
Dorian LPG;LPG;NYSE;Transportation;Transportation - Shipping;1527,91;42,62;51,17;26,69;35,85;7,49;4,94;6,46;43,87;4,79;7,26;5,55;-34%;31%;-0,21;0,18;92%
Pilgrim's Pride;PPC;NSDQ;Consumer Staples;Food - Meat Products;10734,56;237,12;46,58;22,57;45,27;1,53;4,79;4,79;-0,61;29,59;9,45;9,45;213%;0%;0,04;#DIV/0!;106%
Dairy Farm International;DFIHY;OTC;Consumer Staples;Food - Dairy Products;2377,69;270,73;13;7,95;8,78;;;;-0,05;;;;;;;;64%
Nextdoor;KIND;NYSE;Computer and Technology;Internet - Software;858,59;379,91;2,93;1,42;2,26;-0,4;-0,28;-0,18;2,61;-5,65;-8,07;-12,56;-30%;-36%;0,27;0,35;106%
DigitalOcean;DOCN;NYSE;Computer and Technology;Internet - Software;3351,07;92,06;40,88;19,82;36,4;1,51;1,67;1,82;20,23;24,11;21,8;20;11%;9%;2,06;2,23;106%
Schrodinger;SDGR;NSDQ;Medical;Medical Info Systems;1492,33;72,8;37,21;18,05;20,5;0,51;-2,19;-2,14;19,73;40,2;-9,36;-9,58;-529%;-2%;0,02;4,2;106%
Iridium Communications;IRDM;NSDQ;Computer and Technology;Satellite and Communication;3241,32;118,38;50,79;24,65;27,38;-0,15;0,81;1;9,67;-182,53;33,8;27,38;-640%;23%;-0,05;1,17;106%
Kennedy-Wilson;KW;NYSE;Finance;Real Estate - Operations;1512,91;137,41;16,54;8,03;11,01;0,35;2,96;2,99;4,19;31,46;3,72;3,68;746%;1%;0;3,63;106%
Envestnet;ENV;NYSE;Business Services;Financial Transaction Services;3469,39;55,24;69,09;33,55;62,81;2;2,55;2,95;0,47;31,41;24,63;21,29;28%;16%;0,9;1,36;106%
Paycom Software;PAYC;NYSE;Computer and Technology;Internet - Software;8896,86;57,43;288,6;140,16;154,91;7,63;7,82;8,73;23,16;20,3;19,81;17,74;2%;12%;7,96;1,52;106%
ProFrac Holding Corp,;ACDC;NSDQ;Oils-Energy;Alternative Energy - Other;1031,34;160,15;11,88;5,77;6,44;0,79;-0,25;0,95;8,43;8,15;-25,76;6,78;-132%;-480%;0,2;-0,01;106%
D S SMITH;DITHF;OTC;Basic Materials;Paper and Related Products;8044,27;1377,44;6,4;3,25;5,84;0,42;0,38;0,47;-13,2;13,9;15,37;12,43;-10%;24%;-1,61;0,52;97%
Ero Copper;ERO;NYSE;Basic Materials;Mining - Non Ferrous;1886,79;103,22;23,92;11,63;18,28;0,88;1,69;3,83;0,25;20,77;10,82;4,77;92%;127%;0,12;0,04;106%
Informatica Inc,;INFA;NYSE;Computer and Technology;Internet - Software;7325,04;302,94;38,81;18,87;24,18;0,88;1,13;1,23;5,98;27,48;21,4;19,66;28%;9%;0,75;2,22;106%
eXp World Holdings;EXPI;NSDQ;Finance;Real Estate - Operations;1781,77;153,73;19;9,24;11,59;0,06;0,01;0,44;-6,9;193,17;1159;26,34;-83%;4300%;-13,91;0,01;106%
Wolverine World Wide;WWW;NYSE;Consumer Discretionary;Shoes and Retail Apparel ;1119,35;80,01;14,87;7,24;13,99;0,09;0,85;1,28;-16,46;155,44;16,46;10,93;844%;51%;0,02;0,22;105%
Deutsche Lufthansa;DLAKY;OTC;Transportation;Transportation - Airline;7754,09;1196,62;9,2;6,12;6,48;1,65;0,92;1,47;11,07;3,93;7,04;4,41;-44%;60%;-0,16;0,07;50%
The Hain Celestial Group;HAIN;NSDQ;Consumer Staples;Food - Miscellaneous;760,98;89,85;11,82;5,76;8,47;0,29;0,46;0,58;-3,36;29,21;18,41;14,6;59%;26%;0,31;0,56;105%
Taseko Mines Limited;TGB;AMEX;Basic Materials;Mining - Miscellaneous;554,35;293,31;3,05;1,07;1,89;0,12;0,18;0,19;29,1;15,75;10,5;9,95;50%;6%;0,21;1,79;185%
Western Alliance Ban;WAL;NYSE;Finance;Banks - West;8666;110,09;82,1;40,1;78,72;7,16;7,4;9,28;43,08;10,99;10,64;8,48;3%;25%;3,17;0,33;105%
Shake Shack;SHAK;NYSE;Retail-Wholesale;Retail - Restaurants;3964,65;42,47;109,49;53,52;93,35;0,35;0,73;1,07;20,77;266,71;127,88;87,24;109%;47%;1,18;1,87;105%
Relay Therapeutics;RLAY;NSDQ;Medical;Medical - Drugs;835,47;133,89;12,07;5,9;6,24;-2,9;-2,91;-3,12;1749,82;-2,15;-2,14;-2;0%;7%;-6,22;-0,28;105%
Herbalife Ltd;HLF;NYSE;Retail-Wholesale;Retail - Pharmacies and Drug Stores;758,41;100,72;15,4;7,53;7,53;2,28;0,9;1,77;-2,73;3,3;8,37;4,25;-61%;97%;-0,14;0,04;105%
Aurinia Pharmaceuticals;AUPH;NSDQ;Medical;Medical - Drugs;1038,32;143,02;9,83;4,81;7,26;-0,52;0,04;0,45;30,95;-13,96;181,5;16,13;-108%;1025%;-1,69;0,02;104%
Dongfeng Motor Group;DNFGY;OTC;Auto-Tires-Trucks;Automotive - Foreign;2332,45;170,63;24,26;12,43;13,67;4,19;1,55;1,67;;3,26;8,82;8,19;-63%;8%;-0,14;1,06;95%
Banc of California;BANC;NYSE;Finance;Banks - Southwest;2192,76;158,78;15,21;10,73;13,81;0,42;0,61;1,3;403,72;32,88;22,64;10,62;45%;113%;0,5;0,09;42%
Dunelm Group;DNLMY;OTC;Consumer Discretionary;Textile - Home Furnishing;3225,13;202,2;15,95;12,06;15,95;0,93;0,97;1,01;-7,27;17,15;16,44;15,79;4%;4%;3,82;3,83;32%
BitFuFu Inc,;FUFU;NSDQ;Finance;Financial - Miscellaneous Services;712,78;163,11;13,13;2,63;4,37;;;;43,34;;;;;;;;399%
Hope Bancorp;HOPE;NSDQ;Finance;Banks - West;1474,13;120,73;13,52;8,3;12,21;1,17;0,88;1,33;42,6;10,44;13,88;9,18;-25%;51%;-0,56;0,18;63%
Palomar Holdings;PLMR;NSDQ;Finance;Insurance - Property and Casualty;2363,78;25,01;99,22;48,58;94,51;3,55;4,83;5,79;14,93;26,62;19,57;16,32;36%;20%;0,54;0,82;104%
Dai Nippon Printing Co,;DNPLY;OTC;Industrial Products;Commercial Printing;9708,96;554,48;17,99;12,44;17,51;;;;-2,9;;;;;;;;45%
PHINIA Inc,;PHIN;NYSE;Auto-Tires-Trucks;Automotive - Original Equipment;2017,48;43,68;48,86;23,94;46,19;;3,37;4,45;4,54;;13,71;10,38;;32%;;0,32;104%
OUTFRONT Media;OUT;NYSE;Finance;REIT and Equity Trust - Other;2657,37;165,98;17,05;8,36;16,01;1,63;1,7;1,81;2,74;9,82;9,42;8,85;4%;6%;2,19;1,37;104%
ICU Medical;ICUI;NSDQ;Medical;Medical - Products;3964,71;24,42;165,33;81,08;162,32;6,38;5,16;6,58;-0,92;25,44;31,46;24,67;-19%;28%;-1,65;0,9;104%
GoodRx;GDRX;NSDQ;Medical;Medical Services;2925,58;379,45;9,05;4,44;7,71;0,28;0,35;0,43;-2,12;27,54;22,03;17,93;25%;23%;0,88;0,78;104%
Macy's;M;NYSE;Retail-Wholesale;Retail - Regional Department Stores;4052,43;277,37;21,54;10,57;14,61;3,08;2,72;2,65;-5,52;4,74;5,37;5,51;-12%;-3%;-0,46;-2,14;104%
GormanRupp;GRC;NYSE;Industrial Products;Manufacturing - General Industrial ;930,29;26,23;41,31;29,51;35,47;1,28;1,85;1,98;26,58;27,71;19,17;17,91;45%;7%;0,43;2,55;40%
Myriad Genetics;MYGN;NSDQ;Medical;Medical - Biomedical and Genetics;2449,43;90,82;28,33;13,91;26,97;-0,3;0,1;0,31;11,03;-89,9;269,7;87;-133%;210%;-2,02;0,41;104%
American Coastal Insurance Corporation;ACIC;NSDQ;Finance;Insurance - Property and Casualty;522,86;48,15;13,95;6,85;10,86;1,85;1,45;1,55;-37,08;5,87;7,49;7,01;-22%;7%;-0,35;1,02;104%
JetBlue Airways;JBLU;NSDQ;Transportation;Transportation - Airline;1838,22;346,83;7,51;3,69;5,3;-0,54;-1,11;-0,46;4,99;-9,81;-4,77;-11,52;106%;-59%;-0,05;0,2;104%
Dundee Precious Metals;DPMLF;OTC;Basic Materials;Mining - Gold;1658,84;179,72;10;5,83;9,23;;;;-8,72;;;;;;;;72%
Dominos Pizza UK;DPUKY;OTC;Retail-Wholesale;Food - Natural Foods Products;1501,57;198,99;10,04;7,18;7,55;0,47;0,52;0,6;13,82;16,06;14,51;12,58;11%;15%;1,36;0,82;40%
KB Home;KBH;NYSE;Construction;Building Products - Home Builders;5967,42;75,2;86,08;42,31;79,35;6,9;8,38;8,99;-7,14;11,5;9,47;8,83;21%;7%;0,44;1,21;103%
Ichor Holdings;ICHR;NSDQ;Computer and Technology;Electronics - Semiconductors;919,01;33,69;45,48;22,36;27,28;0,55;0,26;1,49;-36,63;49,6;104,92;18,31;-53%;473%;-1,99;0,04;103%
Par Pacific;PARR;NYSE;Oils-Energy;Oil and Gas - Refining and Marketing;1118,73;56,33;40,38;19,86;19,86;8,24;2,01;3,24;12,43;2,41;9,88;6,13;-76%;61%;-0,13;0,1;103%
Veeco Instruments;VECO;NSDQ;Computer and Technology;Electronics - Manufacturing Machinery;1684,81;56,78;48,47;23,84;29,67;1,62;1,77;2,15;3,14;18,31;16,76;13,8;9%;21%;1,81;0,64;103%
Harmony Biosciences;HRMY;NSDQ;Medical;Medical - Biomedical and Genetics;2022,75;56,83;39,03;19,2;35,59;2,45;2,19;3,49;32,93;14,53;16,25;10,2;-11%;59%;-1,53;0,17;103%
Bausch Health;BHC;NYSE;Medical;Medical - Generic Drugs;2243,87;361,33;10,61;5,22;6,21;3,37;3,61;4,17;7,79;1,84;1,72;1,49;7%;16%;0,24;0,1;103%
Park National;PRK;AMEX;Finance;Banks - Midwest;2674,71;16,15;188,56;92,83;165,6;8,21;;;9,75;20,17;;;;;;;103%
Daiwa Securities Group;DSEEY;OTC;Finance;Financial - Miscellaneous Services;10781,63;1569,38;8,46;5,47;6,87;;;;38,03;;;;;;;;55%
Progyny;PGNY;NSDQ;Medical;Medical Services;2093,51;90,28;41,62;20,5;23,19;0,59;1,41;1,66;38,34;39,31;16,45;13,97;139%;18%;0,12;0,79;103%
Xerox;XRX;NSDQ;Industrial Products;Office Supplies;1271,91;124,33;19,61;9,66;10,23;1,9;1,79;1,89;-3,11;5,38;5,72;5,41;-6%;6%;-0,99;0,97;103%
ODDITY Tech Ltd,;ODD;NSDQ;Computer and Technology;Internet - Software;1923,23;56,87;48,65;25,53;33,82;1,22;1,76;1,73;56,75;27,72;19,22;19,55;44%;-2%;0,43;-11,47;91%
Bilibili;BILI;NSDQ;Computer and Technology;Internet - Services;6261,72;414,14;18,14;8,94;15,12;-1,14;0;0,73;0,39;-13,26;;20,71;;;;;103%
Skyward Specialty Insurance Group;SKWD;NSDQ;Finance;Insurance - Property and Casualty;1636,72;40,1;41,49;23,22;40,82;2,06;2,96;3,26;37,91;19,82;13,79;12,52;44%;10%;0,32;1,24;79%
Olo;OLO;NYSE;Computer and Technology;Internet - Software;797,56;162,11;6,17;4,25;4,92;0,15;0,21;0,24;23,13;32,8;23,43;20,5;40%;14%;0,59;1,44;45%
Dufry;DUFRY;OTC;Consumer Discretionary;Consumer Products - Discretionary;5631,47;1526,14;4,24;3,2;3,69;;;;68,26;;;;;;;;33%
Turning Point Brands;TPB;NYSE;Consumer Staples;Tobacco;699,88;17,71;40,11;19,84;39,51;;;;-2,32;;;;;;;;102%
Fluence Energy;FLNC;NSDQ;Oils-Energy;Alternative Energy - Other;3312;180,49;27,22;13,47;18,35;-0,69;0,1;0,65;85,05;-26,59;183,5;28,23;-114%;550%;-1,6;0,05;102%
LeMaitre Vascular;LMAT;NSDQ;Medical;Medical - Products;1978,61;22,47;91,67;45,37;88,06;1,33;1,85;2,09;19,69;66,21;47,6;42,13;39%;13%;1,22;3,25;102%
Similarweb;SMWB;NYSE;Computer and Technology;Internet - Content;702,35;78,65;9,49;4,7;8,93;-0,09;0,17;0,22;12,83;-99,22;52,53;40,59;-289%;29%;-0,18;1,38;102%
Deutsche Wohnen;DWHHF;OTC;Finance;Real Estate - Operations;7577,62;;25,14;18,24;18,93;;;;12,3;;;;;;;;38%
The Duckhorn Portfolio;NAPA;NYSE;Consumer Staples;Beverages - Alcohol;892,61;147,05;12,19;6,04;6,07;0,56;0,63;0,74;8,18;10,84;9,63;8,2;13%;17%;0,77;0,47;102%
Derwent London;DWVYF;OTC;Finance;Real Estate - Operations;3402,41;;30,3;23,5;30,3;1,34;1,32;1,32;7,45;22,61;22,95;22,95;-1%;0%;-15,38;#DIV/0!;29%
PennyMac Mortgage Investment Trust;PMT;NYSE;Finance;Real Estate - Operations;1197,81;86,86;15,81;10,55;13,79;1,48;1,27;1,5;41,23;9,32;10,86;9,19;-14%;18%;-0,77;0,51;50%
CSW Industrials;CSWI;NSDQ;Basic Materials;Chemical - Specialty;4426,26;15,53;337,63;167,75;285;6,83;8,44;9,75;4,61;41,73;33,77;29,23;24%;16%;1,43;1,88;101%
Verint Systems;VRNT;NSDQ;Computer and Technology;Computer - Software;1625,17;62,01;37,23;18,5;26,21;2,65;2,91;3,17;0,9;9,89;9,01;8,27;10%;9%;0,92;0,93;101%
Kyndryl Holdings;KD;NYSE;Business Services;Technology Services;5227,6;231,21;28,05;13,94;22,61;-0,07;1,35;2,46;-5,72;-323;16,75;9,19;-2029%;82%;-0,01;0,11;101%
Vicor;VICR;NSDQ;Computer and Technology;Electronics - Miscellaneous Components;1582,46;45,07;64,01;31,82;35,11;;;;1,5;;;;;;;;101%
Trinity Industries;TRN;NYSE;Transportation;Transportation - Equipment and Leasing;2559,97;82,45;36,5;20,12;31,05;1,2;1,65;;50,88;25,88;18,82;#DIV/0!;38%;-100%;0,5;#DIV/0!;81%
Fortrea Holdings Inc,;FTRE;NSDQ;Medical;Medical - Biomedical and Genetics;1800,06;89,6;40,28;20,04;20,09;1,44;0,6;1,54;0,42;13,95;33,48;13,05;-58%;157%;-0,57;0,08;101%
Medpace;MEDP;NSDQ;Medical;Medical Services;10408,53;31;457,29;227,52;335,74;8,65;11,65;12,96;29,17;38,81;28,82;25,91;35%;11%;0,83;2,3;101%
MINISO Group Holding Limited;MNSO;NYSE;Retail-Wholesale;Retail - Apparel and Shoes;5076,87;315,92;29,64;14,76;16,07;0,8;1,22;1,55;5,08;20,09;13,17;10,37;53%;27%;0,25;0,38;101%
Toast;TOST;NYSE;Computer and Technology;Internet - Software;10736,69;461;27,71;13,81;23,29;-0,51;-0,1;0,27;41,52;-45,67;-232,9;86,26;-80%;-370%;2,9;-0,23;101%
Energy Recovery;ERII;NSDQ;Industrial Products;Pollution Control;835,86;57,72;24,82;12,37;14,48;0,51;0,63;0,72;2,2;28,39;22,98;20,11;24%;14%;0,98;1,41;101%
Inspire Medical Systems;INSP;NYSE;Medical;Medical Info Systems;5871,3;29,82;251,19;125,26;196,88;-1,26;0,75;1,36;53,19;-156,25;262,51;144,76;-160%;81%;-1,65;1,78;101%
Service Properties Trust;SVC;NSDQ;Finance;REIT and Equity Trust - Other;769,73;165,89;8,66;4,32;4,64;1,73;1,21;1,26;0,58;2,68;3,83;3,68;-30%;4%;-0,13;0,89;100%
DoubleDown Interactive;DDI;NSDQ;Consumer Discretionary;Gaming;696,23;49,55;14,73;7,35;14,05;2;2,35;2,26;-3,79;7,03;5,98;6,22;18%;-4%;0,34;-1,62;100%
EDENRED;EDNMY;OTC;Business Services;Technology Services;9983,52;499,18;32,8;18,6;20;1,08;1,1;1,27;16,86;18,52;18,18;15,75;2%;15%;9,82;1,02;76%
PVH;PVH;NYSE;Consumer Discretionary;Textile - Apparel;5304,25;55,86;140,61;70,19;94,96;10,48;11,59;12,74;2,14;9,06;8,19;7,45;11%;10%;0,77;0,75;100%
ClevelandCliffs;CLF;NYSE;Basic Materials;Mining - Miscellaneous;5335,66;468,04;22,83;11,4;11,4;1,05;0,04;1,25;-4,32;10,86;285;9,12;-96%;3025%;-2,96;0;100%
Sohu,com;SOHU;NSDQ;Computer and Technology;Internet - Services;502,34;33,05;16,03;8,01;15,2;-1,59;;;-18,15;-9,56;;;;;;;100%
